Generation,Time_seconds,Best_cost,Mean_cost,Holding_cost,Order_cost,Shortage_cost,Penalty_cost,Method
155,6.1176284,174794093.5,89954880094,100536980.8,63189037.63,11068075,0,HGA-VNS
156,6.1671027,174794093.5,22396931326,100536980.8,63189037.63,11068075,0,HGA-VNS
157,6.2075303,174794093.5,61478567658,100536980.8,63189037.63,11068075,0,HGA-VNS
158,6.2471411,174794093.5,77547230559,100536980.8,63189037.63,11068075,0,HGA-VNS
159,6.2884667,174794093.5,70923776209,100536980.8,63189037.63,11068075,0,HGA-VNS
160,6.3248363,174794093.5,29989799627,100536980.8,63189037.63,11068075,0,HGA-VNS
161,6.3647273,174794093.5,40691595741,100536980.8,63189037.63,11068075,0,HGA-VNS
162,6.4032329,174794093.5,17015745065,100536980.8,63189037.63,11068075,0,HGA-VNS
163,6.4410521,174794093.5,93341040848,100536980.8,63189037.63,11068075,0,HGA-VNS
164,6.480075,174794093.5,1.43E+11,100536980.8,63189037.63,11068075,0,HGA-VNS
165,7.0427803,173907697.5,37326059463,100536980.8,63189037.63,11068075,0,HGA-VNS
166,7.0806611,173907697.5,55459061031,102587070.8,63189037.63,8131589,0,HGA-VNS
167,7.1190226,173907697.5,28673142903,102587070.8,63189037.63,8131589,0,HGA-VNS
168,7.1560974,173907697.5,66839932534,102587070.8,63189037.63,8131589,0,HGA-VNS
169,7.1917099,173907697.5,1.61E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
170,7.230944,173907697.5,53693651541,102587070.8,63189037.63,8131589,0,HGA-VNS
171,7.2692314,173907697.5,28075785079,102587070.8,63189037.63,8131589,0,HGA-VNS
172,7.3088044,173907697.5,80583212376,102587070.8,63189037.63,8131589,0,HGA-VNS
173,7.3469374,173907697.5,31131800512,102587070.8,63189037.63,8131589,0,HGA-VNS
174,7.3846932,173907697.5,75389036112,102587070.8,63189037.63,8131589,0,HGA-VNS
175,7.4212462,173907697.5,89696654222,102587070.8,63189037.63,8131589,0,HGA-VNS
176,7.4568592,173907697.5,1.74E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
177,7.496012,173907697.5,51924820422,102587070.8,63189037.63,8131589,0,HGA-VNS
178,7.5338014,173907697.5,54893801249,102587070.8,63189037.63,8131589,0,HGA-VNS
179,7.5721921,173907697.5,41472444275,102587070.8,63189037.63,8131589,0,HGA-VNS
180,7.612255,173907697.5,30211791589,102587070.8,63189037.63,8131589,0,HGA-VNS
181,7.6473636,173907697.5,64249518397,102587070.8,63189037.63,8131589,0,HGA-VNS
182,7.683298,173907697.5,51374128980,102587070.8,63189037.63,8131589,0,HGA-VNS
183,7.7189685,173907697.5,54659012483,102587070.8,63189037.63,8131589,0,HGA-VNS
184,7.7636655,173907697.5,45741428113,102587070.8,63189037.63,8131589,0,HGA-VNS
185,7.7982144,173907697.5,59087648559,102587070.8,63189037.63,8131589,0,HGA-VNS
186,7.8334322,173907697.5,97275115854,102587070.8,63189037.63,8131589,0,HGA-VNS
187,7.8717264,173907697.5,45302221902,102587070.8,63189037.63,8131589,0,HGA-VNS
188,7.9081181,173907697.5,51675360595,102587070.8,63189037.63,8131589,0,HGA-VNS
189,7.9413275,173907697.5,67370423972,102587070.8,63189037.63,8131589,0,HGA-VNS
190,7.9741354,173907697.5,10174125733,102587070.8,63189037.63,8131589,0,HGA-VNS
191,8.0138607,173907697.5,59171130645,102587070.8,63189037.63,8131589,0,HGA-VNS
192,8.0526712,173907697.5,1.14E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
193,8.085247,173907697.5,61178289896,102587070.8,63189037.63,8131589,0,HGA-VNS
194,8.1171816,173907697.5,1.51E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
195,8.1495818,173907697.5,33507099212,102587070.8,63189037.63,8131589,0,HGA-VNS
196,8.1860094,173907697.5,12969494660,102587070.8,63189037.63,8131589,0,HGA-VNS
197,8.2276966,173907697.5,1.34E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
198,8.2651055,173907697.5,43945580583,102587070.8,63189037.63,8131589,0,HGA-VNS
199,8.3013609,173907697.5,74522643415,102587070.8,63189037.63,8131589,0,HGA-VNS
200,8.3343809,173907697.5,55801530134,102587070.8,63189037.63,8131589,0,HGA-VNS
201,8.3692611,173907697.5,1.45E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
202,8.4127878,173907697.5,25173571042,102587070.8,63189037.63,8131589,0,HGA-VNS
203,8.4506492,173907697.5,85157725806,102587070.8,63189037.63,8131589,0,HGA-VNS
204,8.4887149,173907697.5,72177227653,102587070.8,63189037.63,8131589,0,HGA-VNS
205,8.5269098,173907697.5,58541214020,102587070.8,63189037.63,8131589,0,HGA-VNS
206,8.5824786,173907697.5,77360185330,102587070.8,63189037.63,8131589,0,HGA-VNS
207,8.6319712,173907697.5,89625663483,102587070.8,63189037.63,8131589,0,HGA-VNS
208,8.666018,173907697.5,48952241022,102587070.8,63189037.63,8131589,0,HGA-VNS
209,8.7001268,173907697.5,66783784249,102587070.8,63189037.63,8131589,0,HGA-VNS
210,8.7457145,173907697.5,75516725205,102587070.8,63189037.63,8131589,0,HGA-VNS
211,8.7825415,173907697.5,99496175572,102587070.8,63189037.63,8131589,0,HGA-VNS
212,8.8213676,173907697.5,1.19E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
213,8.8553201,173907697.5,16840234728,102587070.8,63189037.63,8131589,0,HGA-VNS
214,8.8899663,173907697.5,28726424811,102587070.8,63189037.63,8131589,0,HGA-VNS
215,8.9314248,173907697.5,83801697357,102587070.8,63189037.63,8131589,0,HGA-VNS
216,8.9771836,173907697.5,30729264381,102587070.8,63189037.63,8131589,0,HGA-VNS
217,9.0270094,173907697.5,1.39E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
218,9.0669183,173907697.5,46911753024,102587070.8,63189037.63,8131589,0,HGA-VNS
219,9.1180545,173907697.5,77327059619,102587070.8,63189037.63,8131589,0,HGA-VNS
220,9.1723609,173907697.5,63298835387,102587070.8,63189037.63,8131589,0,HGA-VNS
221,9.2295112,173907697.5,48671125782,102587070.8,63189037.63,8131589,0,HGA-VNS
222,9.289705,173907697.5,91730404939,102587070.8,63189037.63,8131589,0,HGA-VNS
223,9.3452656,173907697.5,17144214968,102587070.8,63189037.63,8131589,0,HGA-VNS
224,9.4033496,173907697.5,58620618269,102587070.8,63189037.63,8131589,0,HGA-VNS
225,9.4544015,173907697.5,23872021211,102587070.8,63189037.63,8131589,0,HGA-VNS
226,9.5006595,173907697.5,89775979361,102587070.8,63189037.63,8131589,0,HGA-VNS
227,9.5519347,173907697.5,77732855422,102587070.8,63189037.63,8131589,0,HGA-VNS
228,9.6110462,173907697.5,53160802923,102587070.8,63189037.63,8131589,0,HGA-VNS
229,9.6582993,173907697.5,1.21E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
230,9.7007457,173907697.5,21655271800,102587070.8,63189037.63,8131589,0,HGA-VNS
231,9.751585,173907697.5,30238063527,102587070.8,63189037.63,8131589,0,HGA-VNS
232,9.7886987,173907697.5,97743773262,102587070.8,63189037.63,8131589,0,HGA-VNS
233,9.8285361,173907697.5,1.04E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
234,9.873941,173907697.5,2.13E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
235,9.9171552,173907697.5,28234058255,102587070.8,63189037.63,8131589,0,HGA-VNS
236,9.9574907,173907697.5,14364765271,102587070.8,63189037.63,8131589,0,HGA-VNS
237,9.996564,173907697.5,61107420157,102587070.8,63189037.63,8131589,0,HGA-VNS
238,10.0497122,173907697.5,93609839631,102587070.8,63189037.63,8131589,0,HGA-VNS
239,10.0863069,173907697.5,23854687558,102587070.8,63189037.63,8131589,0,HGA-VNS
240,10.1232228,173907697.5,22147301473,102587070.8,63189037.63,8131589,0,HGA-VNS
241,10.162386,173907697.5,53957669042,102587070.8,63189037.63,8131589,0,HGA-VNS
242,10.2028416,173907697.5,1.26E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
243,10.2420275,173907697.5,90623383894,102587070.8,63189037.63,8131589,0,HGA-VNS
244,10.3248682,173907697.5,1.03E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
245,10.4056896,173907697.5,50793739112,102587070.8,63189037.63,8131589,0,HGA-VNS
246,10.4738513,173907697.5,45392779928,102587070.8,63189037.63,8131589,0,HGA-VNS
247,10.5128007,173907697.5,35125507898,102587070.8,63189037.63,8131589,0,HGA-VNS
248,10.5529924,173907697.5,1.34E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
249,10.5917942,173907697.5,58198313121,102587070.8,63189037.63,8131589,0,HGA-VNS
250,10.6341591,173907697.5,25980491222,102587070.8,63189037.63,8131589,0,HGA-VNS
251,10.6707695,173907697.5,57187873456,102587070.8,63189037.63,8131589,0,HGA-VNS
252,10.7068856,173907697.5,93317096977,102587070.8,63189037.63,8131589,0,HGA-VNS
253,10.7464539,173907697.5,99279344694,102587070.8,63189037.63,8131589,0,HGA-VNS
254,10.7853471,173907697.5,12969502083,102587070.8,63189037.63,8131589,0,HGA-VNS
255,10.8305455,173907697.5,83903036779,102587070.8,63189037.63,8131589,0,HGA-VNS
256,10.8724459,173907697.5,1.52E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
257,10.9137056,173907697.5,8507217569,102587070.8,63189037.63,8131589,0,HGA-VNS
258,10.9522397,173907697.5,1840607725,102587070.8,63189037.63,8131589,0,HGA-VNS
259,10.9955339,173907697.5,51992374856,102587070.8,63189037.63,8131589,0,HGA-VNS
260,11.0329645,173907697.5,69091018285,102587070.8,63189037.63,8131589,0,HGA-VNS
261,11.0766027,173907697.5,16840442544,102587070.8,63189037.63,8131589,0,HGA-VNS
262,11.1112859,173907697.5,64309620864,102587070.8,63189037.63,8131589,0,HGA-VNS
263,11.1452895,173907697.5,57537735937,102587070.8,63189037.63,8131589,0,HGA-VNS
264,11.1803622,173907697.5,98684090737,102587070.8,63189037.63,8131589,0,HGA-VNS
265,11.2198433,173907697.5,33854719136,102587070.8,63189037.63,8131589,0,HGA-VNS
266,11.2539367,173907697.5,1.11E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
267,11.2923886,173907697.5,1.97E+11,102587070.8,63189037.63,8131589,0,HGA-VNS
268,11.3273595,173907697.5,47781900620,102587070.8,63189037.63,8131589,0,HGA-VNS
