param,value,total,holding,ordering,shortage,order_miss_penalty,sum_Q,sum_SS,sum_ROP,convergence_sec,pop,gens,kmax,ls_max_iters,seed,svc,lt_fac,bfac,logc,delta_total,delta_holding,delta_ordering,delta_shortage,delta_order_miss_penalty,delta_sum_Q,delta_sum_SS,delta_sum_ROP,Method
iterations,500,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,44.2766149,120,500,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
neighborhood_kmax,2,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,24.6500995,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
neighborhood_kmax,3,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,25.9317385,120,300,3,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
neighborhood_kmax,5,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,25.8341062,120,300,5,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
neighborhood_kmax,7,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,28.8638564,120,300,7,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
neighborhood_kmax,9,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,31.9569057,120,300,9,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
neighborhood_kmax,11,"173,884,451.47","102,661,054.84","63,189,037.63","8,034,359.00",0.00,2529,17176,45469.57222,29.3383074,120,300,11,5,123,1.2816,1,1,1,-23246,73984,0,-97230,0,0,17,17,HGA-VNS
ls_max_iters,2,"173,964,409.47","102,348,042.84","63,189,037.63","8,427,329.00",0.00,2529,17129,45422.57222,32.5123666,120,300,2,2,123,1.2816,1,1,1,56712,-239028,0,295740,0,0,-30,-30,HGA-VNS
ls_max_iters,5,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,26.4730993,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
ls_max_iters,10,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,31.6366377,120,300,2,10,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
ls_max_iters,20,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,31.3351439,120,300,2,20,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
ls_max_iters,50,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,32.8392428,120,300,2,50,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
ls_max_iters,80,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,39.6086307,120,300,2,80,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
ls_max_iters,120,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,29.1505219,120,300,2,120,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
seed,42,"173,916,515.47","102,567,844.84","63,189,037.63","8,159,633.00",0.00,2529,17161,45454.57222,34.5237037,120,300,2,5,42,1.2816,1,1,1,8818,-19226,0,28044,0,0,2,2,HGA-VNS
seed,99,"173,911,747.47","102,553,172.84","63,189,037.63","8,169,537.00",0.00,2529,17149,45442.57222,24.4985147,120,300,2,5,99,1.2816,1,1,1,4050,-33898,0,37948,0,0,-10,-10,HGA-VNS
seed,123,"173,907,697.47","102,587,070.84","63,189,037.63","8,131,589.00",0.00,2529,17159,45452.57222,23.2987352,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,HGA-VNS
seed,147,"173,916,769.47","102,668,718.84","63,189,037.63","8,059,013.00",0.00,2529,17181,45474.57222,24.4110823,120,300,2,5,147,1.2816,1,1,1,9072,81648,0,-72576,0,0,22,22,HGA-VNS
seed,171,"173,900,438.47","102,606,011.84","63,189,037.63","8,105,389.00",0.00,2529,17165,45458.57222,25.8702131,120,300,2,5,171,1.2816,1,1,1,-7259,18941,0,-26200,0,0,6,6,HGA-VNS
service_level,0.8,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.457772,120,300,2,5,123,0.8416,1,1,1,0,0,0,0,0,0,0,0,VNS
service_level,0.82,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.3675438,120,300,2,5,123,0.919,1,1,1,0,0,0,0,0,0,0,0,VNS
service_level,0.85,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.3934439,120,300,2,5,123,1.0364,1,1,1,0,0,0,0,0,0,0,0,VNS
service_level,0.88,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,1.5982831,120,300,2,5,123,1.175,1,1,1,0,0,0,0,0,0,0,0,VNS
service_level,0.9,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.8963959,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
service_level,0.92,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.6914202,120,300,2,5,123,1.4051,1,1,1,0,0,0,0,0,0,0,0,VNS
service_level,0.95,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.5613998,120,300,2,5,123,1.6449,1,1,1,0,0,0,0,0,0,0,0,VNS
service_level,0.98,"685,634,903.84","99,450,324.31","89,749,673.72","12,709,005.84",0.00,1959,16734,44023.33611,0.6195918,120,300,2,5,123,2.0537,1,1,1,483752640.1,-3093.713123,26121.4266,3712.455747,0,-33,0,0,VNS
lt_factor,0.25,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,23556.33403,0.5312281,120,300,2,5,123,1.2816,0.25,1,1,0,0,0,0,0,0,0,-20467.00208,VNS
lt_factor,0.5,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,30378.66806,0.5734511,120,300,2,5,123,1.2816,0.5,1,1,0,0,0,0,0,0,0,-13644.66806,VNS
lt_factor,0.75,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,37201.00208,0.5155062,120,300,2,5,123,1.2816,0.75,1,1,0,0,0,0,0,0,0,-6822.334028,VNS
lt_factor,1,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.5647208,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
lt_factor,1.25,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,50845.67014,0.7564793,120,300,2,5,123,1.2816,1.25,1,1,0,0,0,0,0,0,0,6822.334028,VNS
lt_factor,1.5,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,57668.00417,0.7365083,120,300,2,5,123,1.2816,1.5,1,1,0,0,0,0,0,0,0,13644.66806,VNS
lt_factor,1.75,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,64490.33819,0.6443616,120,300,2,5,123,1.2816,1.75,1,1,0,0,0,0,0,0,0,20467.00208,VNS
budget_factor,1,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.5391251,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
budget_factor,1.2,"187,313,988.16","99,842,061.13","74,871,524.03","12,600,403.00",0.00,2310,16739,44028.33611,4.8703851,120,300,2,5,123,1.2816,1,1.2,1,-14568275.55,388643.1014,-14852028.27,-104890.3807,0,318,5,5,VNS
budget_factor,1.5,"217,434,488.48","100,645,826.91","105,083,759.56","11,704,902.00",0.00,2277,16816,44105.33611,4.1756197,120,300,2,5,123,1.2816,1,1.5,1,15552224.77,1192408.888,15360207.27,-1000391.381,0,285,82,82,VNS
budget_factor,1.7,"217,434,488.48","100,645,826.91","105,083,759.56","11,704,902.00",0.00,2277,16816,44105.33611,4.3085132,120,300,2,5,123,1.2816,1,1.7,1,15552224.77,1192408.888,15360207.27,-1000391.381,0,285,82,82,VNS
budget_factor,2,"217,434,488.48","100,645,826.91","105,083,759.56","11,704,902.00",0.00,2277,16816,44105.33611,3.9822144,120,300,2,5,123,1.2816,1,2,1,15552224.77,1192408.888,15360207.27,-1000391.381,0,285,82,82,VNS
log_cost,1,"201,882,263.70","99,453,418.03","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,0.6105836,120,300,2,5,123,1.2816,1,1,1,0,0,0,0,0,0,0,0,VNS
log_cost,1.1,"211,827,605.50","109,398,759.83","89,723,552.30","12,705,293.38",0.00,1992,16734,44023.33611,1.1054286,120,300,2,5,123,1.2816,1,1,1.1,9945341.803,9945341.803,0,0,0,0,0,0,VNS
log_cost,1.2,"1,000,158,968,704.13","119,567,701.70","27,005,002.44","12,396,000.00","1,000,000,000,000.00",2367,16780,44069.33611,1.2268632,120,300,2,5,123,1.2816,1,1,1.2,9.99957E+11,20114283.67,-62718549.86,-309293.3807,1E+12,375,46,46,VNS
log_cost,1.3,"1,000,172,817,724.88","129,401,916.04","30,932,443.85","12,483,365.00","1,000,000,000,000.00",2367,16762,44051.33611,1.5144647,120,300,2,5,123,1.2816,1,1,1.3,9.99971E+11,29948498.01,-58791108.45,-221928.3807,1E+12,375,28,28,VNS
log_cost,1.4,"1,000,182,771,718.42","139,355,909.58","30,932,443.85","12,483,365.00","1,000,000,000,000.00",2367,16762,44051.33611,1.2195331,120,300,2,5,123,1.2816,1,1,1.4,9.99981E+11,39902491.55,-58791108.45,-221928.3807,1E+12,375,28,28,VNS
